symbol,mcap_mm,is_auto,desc
IRM,7841,False,Iron Mountain Incorporated
WRK,7832,False,WestRock Company
TXT,7813,False,Textron Inc.
MGM,7787,False,MGM Resorts International
SNA,7704,False,Snap-on Incorporated
PRGO,7606,False,Perrigo Company plc
COG,7588,False,Cabot Oil & Gas Corporation
HST,7402,False,Host Hotels & Resorts Inc.
NWL,7269,False,Newell Brands Inc.
IPG,7227,False,The Interpublic Group of Companies Inc.
LNC,7189,False,Lincoln National Corporation
TAP,7169,False,Molson Coors Beverage Company
HII,7166,False,Huntington Ingalls Industries Inc.
PNR,7031,False,Pentair plc
AOS,6931,False,A. O. Smith Corporation
FOX,6915,False,Fox Corporation
HWM,6781,False,Howmet Aerospace Inc.
REG,6778,False,Regency Centers Corporation
VNO,6690,False,Vornado Realty Trust
CF,6537,False,CF Industries Holdings Inc.
DISCK,6439,False,NAN
FANG,6427,False,Diamondback Energy Inc.
AIZ,6370,False,Assurant Inc.
MHK,6092,False,Mohawk Industries Inc.
RHI,6042,False,Robert Half International Inc.
SEE,5798,False,Sealed Air Corporation
AAL,5792,False,American Airlines Group Inc.
PWR,5599,False,Quanta Services Inc.
FRT,5520,False,Federal Realty Investment Trust
ZION,5514,False,Zions Bancorporation National Association
FLIR,5360,False,FLIR Systems Inc.
APA,5359,False,Apache Corporation
LB,5331,False,L Brands Inc.
NLSN,5322,False,Nielsen Holdings plc
AIV,5307,False,Apartment Investment and Management Company
NBL,5223,False,Noble Energy Inc.
CMA,5201,False,Comerica Incorporated
MOS,5181,False,The Mosaic Company
PBCT,5095,False,People's United Financial Inc.
NOV,4945,False,National Oilwell Varco Inc.
NWSA,4942,False,News Corporation
HBI,4862,False,Hanesbrands Inc.
IVZ,4790,False,Invesco Ltd.
LEG,4752,False,Leggett & Platt Incorporated
GPS,4713,False,The Gap Inc.
KIM,4649,False,Kimco Realty Corporation
MRO,4520,False,Marathon Oil Corporation
HFC,4367,False,HollyFrontier Corporation
DXC,4357,False,DXC Technology Company
ALK,4297,False,Alaska Air Group Inc.
DVN,4094,False,Devon Energy Corporation
NCLH,3961,False,Norwegian Cruise Line Holdings Ltd.
FLS,3945,False,Flowserve Corporation
TPR,3719,False,Tapestry Inc.
UNM,3688,False,Unum Group
FTI,3559,False,TechnipFMC plc
PVH,3557,False,PVH Corp.
SLG,3470,False,SL Green Realty Corp.
RL,3413,False,Ralph Lauren Corporation
DISCA,3384,False,Discovery Inc.
XRX,3330,False,Xerox Holdings Corporation
KSS,3290,False,Kohl's Corporation
COTY,3060,False,Coty Inc.
HRB,2819,False,H&R Block Inc.
NWS,2537,False,NAN
UA,2272,False,Under Armour Inc.
UAA,2056,False,Under Armour Inc.
